Mês/Ano ,Região Origem        ,Região Destino ,Vendas de Biodiesel
01/2024 ,NORDESTE             ,NORDESTE       ,
01/2024 ,NORDESTE             ,NORTE          ,
01/2024 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
01/2024 ,NORTE / CENTRO OESTE ,NORDESTE       ,
01/2024 ,NORTE / CENTRO OESTE ,NORTE          ,
01/2024 ,NORTE / CENTRO OESTE ,SUDESTE        ,
01/2024 ,NORTE / CENTRO OESTE ,SUL            ,
01/2024 ,SUDESTE              ,CENTRO OESTE   ,
01/2024 ,SUDESTE              ,NORDESTE       ,
01/2024 ,SUDESTE              ,SUDESTE        ,
01/2024 ,SUL                  ,CENTRO OESTE   ,
01/2024 ,SUL                  ,NÃO INFORMADA  ,
01/2024 ,SUL                  ,SUDESTE        ,
01/2024 ,SUL                  ,SUL            ,
12/2023 ,NORDESTE             ,NORDESTE       ,
12/2023 ,NORDESTE             ,NORTE          ,
12/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
12/2023 ,NORTE / CENTRO OESTE ,NÃO INFORMADA  ,
12/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
12/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
12/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
12/2023 ,NORTE / CENTRO OESTE ,SUL            ,
12/2023 ,SUDESTE              ,NORDESTE       ,
12/2023 ,SUDESTE              ,SUDESTE        ,
12/2023 ,SUL                  ,CENTRO OESTE   ,
12/2023 ,SUL                  ,NÃO INFORMADA  ,
12/2023 ,SUL                  ,SUDESTE        ,
12/2023 ,SUL                  ,SUL            ,
11/2023 ,NORDESTE             ,NORDESTE       ,
11/2023 ,NORDESTE             ,NORTE          ,
11/2023 ,NORDESTE             ,SUDESTE        ,
11/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
11/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
11/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
11/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
11/2023 ,NORTE / CENTRO OESTE ,SUL            ,
11/2023 ,SUDESTE              ,NORDESTE       ,
11/2023 ,SUDESTE              ,SUDESTE        ,
11/2023 ,SUL                  ,CENTRO OESTE   ,
11/2023 ,SUL                  ,NÃO INFORMADA  ,
11/2023 ,SUL                  ,SUDESTE        ,
11/2023 ,SUL                  ,SUL            ,
10/2023 ,NORDESTE             ,NORDESTE       ,
10/2023 ,NORDESTE             ,NORTE          ,
10/2023 ,NORDESTE             ,SUDESTE        ,
10/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
10/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
10/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
10/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
10/2023 ,NORTE / CENTRO OESTE ,SUL            ,
10/2023 ,SUDESTE              ,CENTRO OESTE   ,
10/2023 ,SUDESTE              ,NORDESTE       ,
10/2023 ,SUDESTE              ,SUDESTE        ,
10/2023 ,SUL                  ,CENTRO OESTE   ,
10/2023 ,SUL                  ,SUDESTE        ,
10/2023 ,SUL                  ,SUL            ,
09/2023 ,NORDESTE             ,CENTRO OESTE   ,
09/2023 ,NORDESTE             ,NORDESTE       ,
09/2023 ,NORDESTE             ,SUDESTE        ,
09/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
09/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
09/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
09/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
09/2023 ,NORTE / CENTRO OESTE ,SUL            ,
09/2023 ,SUDESTE              ,CENTRO OESTE   ,
09/2023 ,SUDESTE              ,NORDESTE       ,
09/2023 ,SUDESTE              ,SUDESTE        ,
09/2023 ,SUL                  ,CENTRO OESTE   ,
09/2023 ,SUL                  ,NÃO INFORMADA  ,
09/2023 ,SUL                  ,SUDESTE        ,
09/2023 ,SUL                  ,SUL            ,
08/2023 ,NORDESTE             ,NORDESTE       ,
08/2023 ,NORDESTE             ,SUDESTE        ,
08/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
08/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
08/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
08/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
08/2023 ,NORTE / CENTRO OESTE ,SUL            ,
08/2023 ,SUDESTE              ,CENTRO OESTE   ,
08/2023 ,SUDESTE              ,NORDESTE       ,
08/2023 ,SUDESTE              ,SUDESTE        ,
08/2023 ,SUDESTE              ,SUL            ,
08/2023 ,SUL                  ,CENTRO OESTE   ,
08/2023 ,SUL                  ,NÃO INFORMADA  ,
08/2023 ,SUL                  ,SUDESTE        ,
08/2023 ,SUL                  ,SUL            ,
07/2023 ,NORDESTE             ,NORDESTE       ,
07/2023 ,NORDESTE             ,NORTE          ,
07/2023 ,NORDESTE             ,SUDESTE        ,
07/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
07/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
07/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
07/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
07/2023 ,NORTE / CENTRO OESTE ,SUL            ,
07/2023 ,SUDESTE              ,NORDESTE       ,
07/2023 ,SUDESTE              ,SUDESTE        ,
07/2023 ,SUDESTE              ,SUL            ,
07/2023 ,SUL                  ,CENTRO OESTE   ,
07/2023 ,SUL                  ,NÃO INFORMADA  ,
07/2023 ,SUL                  ,SUDESTE        ,
07/2023 ,SUL                  ,SUL            ,
06/2023 ,NORDESTE             ,CENTRO OESTE   ,
06/2023 ,NORDESTE             ,NORDESTE       ,
06/2023 ,NORDESTE             ,NORTE          ,
06/2023 ,NORDESTE             ,SUDESTE        ,
06/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
06/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
06/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
06/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
06/2023 ,NORTE / CENTRO OESTE ,SUL            ,
06/2023 ,SUDESTE              ,CENTRO OESTE   ,
06/2023 ,SUDESTE              ,NORDESTE       ,
06/2023 ,SUDESTE              ,SUDESTE        ,
06/2023 ,SUDESTE              ,SUL            ,
06/2023 ,SUL                  ,CENTRO OESTE   ,
06/2023 ,SUL                  ,NÃO INFORMADA  ,
06/2023 ,SUL                  ,SUDESTE        ,
06/2023 ,SUL                  ,SUL            ,
05/2023 ,NORDESTE             ,NORDESTE       ,
05/2023 ,NORDESTE             ,SUDESTE        ,
05/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
05/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
05/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
05/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
05/2023 ,NORTE / CENTRO OESTE ,SUL            ,
05/2023 ,SUDESTE              ,NORDESTE       ,
05/2023 ,SUDESTE              ,SUDESTE        ,
05/2023 ,SUDESTE              ,SUL            ,
05/2023 ,SUL                  ,CENTRO OESTE   ,
05/2023 ,SUL                  ,NÃO INFORMADA  ,
05/2023 ,SUL                  ,NORTE          ,
05/2023 ,SUL                  ,SUDESTE        ,
05/2023 ,SUL                  ,SUL            ,
04/2023 ,NORDESTE             ,CENTRO OESTE   ,
04/2023 ,NORDESTE             ,NORDESTE       ,
04/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
04/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
04/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
04/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
04/2023 ,NORTE / CENTRO OESTE ,SUL            ,
04/2023 ,SUDESTE              ,NORDESTE       ,
04/2023 ,SUDESTE              ,SUDESTE        ,
04/2023 ,SUDESTE              ,SUL            ,
04/2023 ,SUL                  ,CENTRO OESTE   ,
04/2023 ,SUL                  ,SUDESTE        ,
04/2023 ,SUL                  ,SUL            ,
03/2023 ,NORDESTE             ,CENTRO OESTE   ,
03/2023 ,NORDESTE             ,NORDESTE       ,
03/2023 ,NORDESTE             ,SUDESTE        ,
03/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
03/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
03/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
03/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
03/2023 ,NORTE / CENTRO OESTE ,SUL            ,
03/2023 ,SUDESTE              ,NÃO INFORMADA  ,
03/2023 ,SUDESTE              ,NORDESTE       ,
03/2023 ,SUDESTE              ,SUDESTE        ,
03/2023 ,SUDESTE              ,SUL            ,
03/2023 ,SUL                  ,CENTRO OESTE   ,
03/2023 ,SUL                  ,NÃO INFORMADA  ,
03/2023 ,SUL                  ,NORDESTE       ,
03/2023 ,SUL                  ,SUDESTE        ,
03/2023 ,SUL                  ,SUL            ,
02/2023 ,NORDESTE             ,NORDESTE       ,
02/2023 ,NORDESTE             ,SUDESTE        ,
02/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
02/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
02/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
02/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
02/2023 ,NORTE / CENTRO OESTE ,SUL            ,
02/2023 ,SUDESTE              ,NORDESTE       ,
02/2023 ,SUDESTE              ,SUDESTE        ,
02/2023 ,SUL                  ,CENTRO OESTE   ,
02/2023 ,SUL                  ,NORDESTE       ,
02/2023 ,SUL                  ,SUDESTE        ,
02/2023 ,SUL                  ,SUL            ,
01/2023 ,NORDESTE             ,NORDESTE       ,
01/2023 ,NORDESTE             ,SUDESTE        ,
01/2023 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
01/2023 ,NORTE / CENTRO OESTE ,NORDESTE       ,
01/2023 ,NORTE / CENTRO OESTE ,NORTE          ,
01/2023 ,NORTE / CENTRO OESTE ,SUDESTE        ,
01/2023 ,NORTE / CENTRO OESTE ,SUL            ,
01/2023 ,SUDESTE              ,NORDESTE       ,
01/2023 ,SUDESTE              ,SUDESTE        ,
01/2023 ,SUDESTE              ,SUL            ,
01/2023 ,SUL                  ,CENTRO OESTE   ,
01/2023 ,SUL                  ,NÃO INFORMADA  ,
01/2023 ,SUL                  ,NORDESTE       ,
01/2023 ,SUL                  ,SUDESTE        ,
01/2023 ,SUL                  ,SUL            ,
12/2022 ,NORDESTE             ,NORDESTE       ,
12/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
12/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
12/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
12/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
12/2022 ,NORTE / CENTRO OESTE ,SUL            ,
12/2022 ,SUDESTE              ,NORDESTE       ,
12/2022 ,SUDESTE              ,SUDESTE        ,
12/2022 ,SUDESTE              ,SUL            ,
12/2022 ,SUL                  ,CENTRO OESTE   ,
12/2022 ,SUL                  ,NORDESTE       ,
12/2022 ,SUL                  ,NORTE          ,
12/2022 ,SUL                  ,SUDESTE        ,
12/2022 ,SUL                  ,SUL            ,
11/2022 ,NORDESTE             ,NORDESTE       ,
11/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
11/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
11/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
11/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
11/2022 ,NORTE / CENTRO OESTE ,SUL            ,
11/2022 ,SUDESTE              ,NORDESTE       ,
11/2022 ,SUDESTE              ,SUDESTE        ,
11/2022 ,SUDESTE              ,SUL            ,
11/2022 ,SUL                  ,CENTRO OESTE   ,
11/2022 ,SUL                  ,NORDESTE       ,
11/2022 ,SUL                  ,SUDESTE        ,
11/2022 ,SUL                  ,SUL            ,
10/2022 ,NORDESTE             ,CENTRO OESTE   ,
10/2022 ,NORDESTE             ,NORDESTE       ,
10/2022 ,NORDESTE             ,SUDESTE        ,
10/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
10/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
10/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
10/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
10/2022 ,NORTE / CENTRO OESTE ,SUL            ,
10/2022 ,SUDESTE              ,CENTRO OESTE   ,
10/2022 ,SUDESTE              ,NORDESTE       ,
10/2022 ,SUDESTE              ,SUDESTE        ,
10/2022 ,SUL                  ,CENTRO OESTE   ,
10/2022 ,SUL                  ,NÃO INFORMADA  ,
10/2022 ,SUL                  ,NORDESTE       ,
10/2022 ,SUL                  ,SUDESTE        ,
10/2022 ,SUL                  ,SUL            ,
09/2022 ,NORDESTE             ,NORDESTE       ,
09/2022 ,NORDESTE             ,SUDESTE        ,
09/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
09/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
09/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
09/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
09/2022 ,NORTE / CENTRO OESTE ,SUL            ,
09/2022 ,SUDESTE              ,CENTRO OESTE   ,
09/2022 ,SUDESTE              ,NORDESTE       ,
09/2022 ,SUDESTE              ,SUDESTE        ,
09/2022 ,SUL                  ,CENTRO OESTE   ,
09/2022 ,SUL                  ,NÃO INFORMADA  ,
09/2022 ,SUL                  ,NORDESTE       ,
09/2022 ,SUL                  ,SUDESTE        ,
09/2022 ,SUL                  ,SUL            ,
08/2022 ,NORDESTE             ,NORDESTE       ,
08/2022 ,NORDESTE             ,SUDESTE        ,
08/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
08/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
08/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
08/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
08/2022 ,NORTE / CENTRO OESTE ,SUL            ,
08/2022 ,SUDESTE              ,NORDESTE       ,
08/2022 ,SUDESTE              ,SUDESTE        ,
08/2022 ,SUDESTE              ,SUL            ,
08/2022 ,SUL                  ,CENTRO OESTE   ,
08/2022 ,SUL                  ,NORDESTE       ,
08/2022 ,SUL                  ,NORTE          ,
08/2022 ,SUL                  ,SUDESTE        ,
08/2022 ,SUL                  ,SUL            ,
07/2022 ,NORDESTE             ,NORDESTE       ,
07/2022 ,NORDESTE             ,SUDESTE        ,
07/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
07/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
07/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
07/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
07/2022 ,NORTE / CENTRO OESTE ,SUL            ,
07/2022 ,SUDESTE              ,CENTRO OESTE   ,
07/2022 ,SUDESTE              ,NORDESTE       ,
07/2022 ,SUDESTE              ,SUDESTE        ,
07/2022 ,SUDESTE              ,SUL            ,
07/2022 ,SUL                  ,CENTRO OESTE   ,
07/2022 ,SUL                  ,NÃO INFORMADA  ,
07/2022 ,SUL                  ,NORDESTE       ,
07/2022 ,SUL                  ,NORTE          ,
07/2022 ,SUL                  ,SUDESTE        ,
07/2022 ,SUL                  ,SUL            ,
06/2022 ,NORDESTE             ,NORDESTE       ,
06/2022 ,NORDESTE             ,SUDESTE        ,
06/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
06/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
06/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
06/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
06/2022 ,NORTE / CENTRO OESTE ,SUL            ,
06/2022 ,SUDESTE              ,CENTRO OESTE   ,
06/2022 ,SUDESTE              ,NORDESTE       ,
06/2022 ,SUDESTE              ,SUDESTE        ,
06/2022 ,SUDESTE              ,SUL            ,
06/2022 ,SUL                  ,CENTRO OESTE   ,
06/2022 ,SUL                  ,NÃO INFORMADA  ,
06/2022 ,SUL                  ,NORTE          ,
06/2022 ,SUL                  ,SUDESTE        ,
06/2022 ,SUL                  ,SUL            ,
05/2022 ,NORDESTE             ,NORDESTE       ,
05/2022 ,NORDESTE             ,NORTE          ,
05/2022 ,NORDESTE             ,SUDESTE        ,
05/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
05/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
05/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
05/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
05/2022 ,NORTE / CENTRO OESTE ,SUL            ,
05/2022 ,SUDESTE              ,CENTRO OESTE   ,
05/2022 ,SUDESTE              ,NORDESTE       ,
05/2022 ,SUDESTE              ,SUDESTE        ,
05/2022 ,SUDESTE              ,SUL            ,
05/2022 ,SUL                  ,CENTRO OESTE   ,
05/2022 ,SUL                  ,NÃO INFORMADA  ,
05/2022 ,SUL                  ,NORDESTE       ,
05/2022 ,SUL                  ,NORTE          ,
05/2022 ,SUL                  ,SUDESTE        ,
05/2022 ,SUL                  ,SUL            ,
04/2022 ,NORDESTE             ,NORDESTE       ,
04/2022 ,NORDESTE             ,NORTE          ,
04/2022 ,NORDESTE             ,SUDESTE        ,
04/2022 ,NORDESTE             ,SUL            ,
04/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
04/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
04/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
04/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
04/2022 ,NORTE / CENTRO OESTE ,SUL            ,
04/2022 ,SUDESTE              ,CENTRO OESTE   ,
04/2022 ,SUDESTE              ,NORDESTE       ,
04/2022 ,SUDESTE              ,SUDESTE        ,
04/2022 ,SUDESTE              ,SUL            ,
04/2022 ,SUL                  ,CENTRO OESTE   ,
04/2022 ,SUL                  ,NÃO INFORMADA  ,
04/2022 ,SUL                  ,NORTE          ,
04/2022 ,SUL                  ,SUDESTE        ,
04/2022 ,SUL                  ,SUL            ,
03/2022 ,NORDESTE             ,NORDESTE       ,
03/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
03/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
03/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
03/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
03/2022 ,NORTE / CENTRO OESTE ,SUL            ,
03/2022 ,SUDESTE              ,CENTRO OESTE   ,
03/2022 ,SUDESTE              ,NORDESTE       ,
03/2022 ,SUDESTE              ,SUDESTE        ,
03/2022 ,SUDESTE              ,SUL            ,
03/2022 ,SUL                  ,CENTRO OESTE   ,
03/2022 ,SUL                  ,NORTE          ,
03/2022 ,SUL                  ,SUDESTE        ,
03/2022 ,SUL                  ,SUL            ,
02/2022 ,NORDESTE             ,NORDESTE       ,
02/2022 ,NORDESTE             ,SUDESTE        ,
02/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
02/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
02/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
02/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
02/2022 ,NORTE / CENTRO OESTE ,SUL            ,
02/2022 ,SUDESTE              ,CENTRO OESTE   ,
02/2022 ,SUDESTE              ,NORDESTE       ,
02/2022 ,SUDESTE              ,SUDESTE        ,
02/2022 ,SUL                  ,CENTRO OESTE   ,
02/2022 ,SUL                  ,NORTE          ,
02/2022 ,SUL                  ,SUDESTE        ,
02/2022 ,SUL                  ,SUL            ,
01/2022 ,NORDESTE             ,NORDESTE       ,
01/2022 ,NORDESTE             ,SUDESTE        ,
01/2022 ,NORTE / CENTRO OESTE ,CENTRO OESTE   ,
01/2022 ,NORTE / CENTRO OESTE ,NORDESTE       ,
01/2022 ,NORTE / CENTRO OESTE ,NORTE          ,
01/2022 ,NORTE / CENTRO OESTE ,SUDESTE        ,
01/2022 ,NORTE / CENTRO OESTE ,SUL            ,
01/2022 ,SUDESTE              ,CENTRO OESTE   ,
01/2022 ,SUDESTE              ,NORDESTE       ,
01/2022 ,SUDESTE              ,SUDESTE        ,
